,Hospital Code,Name Of Hospital,Address of Hospital,current address,Phone Number,Class Recommended,Notification Number,Notification Date,Valid Upto,latitude,longitude
10,411014,"MERIDIAN MEDICAL RESEARCH
& HOSPITAL LTD.
WESTBANK HOSPITAL","ANDUL ROAD, P.O. PODRAH,HOWRAH-711109,
Mail ID- tpacorp.nmh.howrah@narayan ahealth.org,swagata.banerjee@ narayanahealth.org,aninda.gho shal@narayanahealth.org,raju. das@narayanahealth.org","ANDUL ROAD, P.O. PODRAH,HOWRAH-711109",033-71208523,MULTI SPECIALITY HOSPITAL,42-F(MED)WB,5/3/2020,31/03/2023,22.56506,88.28399
11,411015,ECO HOSPITAL & DIAGNOSTICS,"111/1, JESSORE ROAD, BARASAT,KOLKATA- 700124, Mail ID-
info@ecohospital.in","111/1, JESSORE ROAD, BARASAT,KOLKATA- 700124",(033)25626854,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,22.72326,88.49227
12,411016,RAM MOHAN MISSION EYE HOSPITAL,"BONDANGA, PRANTIK, P.O.- SHANTINIKETAN","BONDANGA, PRANTIK, P.O.- SHANTINIKETAN",3463654316,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,23.69115,87.68741
13,411017,MISSION OF MERCY HOSPITAL AND RESEARCH CENTRE,"125/1,PARK STREET, KOLKATA-700017, Mail ID-
mercyhospitaltpadesk@gmail. com","125/1,PARK STREET, KOLKATA-700017",(033)66352000/ 9433776579,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,22.5441,88.36502
14,411019,ROTARY NARAYANA NETHRALAYA,"CN-5, SECTOR-V, SALT LAKE, KOLKATA-91, Mail
ID-eyernn@gmail.com","CN-5, SECTOR-V, SALT LAKE, KOLKATA-700091","23673312/23673
3",MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,22.5781,88.42471
15,411020,THE MISSION HOSPITAL A UNIT OF DURGAPUR MEDICAL CENTRE PRIVATE LTD.,"219P,IMMON KALYAN SARANI, SECTOR 2C, BIDHAN NAGAR, DURGAPUR-713212, Mail ID-
corporate@themissionhospital. in,v.paul@themissionhospital.i n,akash.bharati@themissionho spitaldurgapur,creditcell.tmh@ gmail.com","219P,IMMON KALYAN SARANI, SECTOR 2C, BIDHAN NAGAR, DURGAPUR-713212",3432535555,MULTI SPECIALITY HOSPITAL,26-F(MED)WB,2/5/2019,1/5/2021,23.51854,87.35726
16,411021,CHITTARANJAN ADVANCED MEDICAL REFERRAL INSTITUTE,"BAMCHANDAIPUR, G.T. ROAD,BURDWAN-713101,
Mail ID- camri.corporate@gmail.com","BAMCHANDAIPUR, G.T. ROAD,BURDWAN-713101",(0342)2541182/ 2,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,23.22012,87.88893
17,411022,AROGYA NIKETAN PRIVATE LIMITED,"105/1, R.S VERMA ROAD, UTTARPARA, HOOGHLY,
Mail ID- anpl.1991@gmail.com","105/1, R.S VERMA ROAD, UTTARPARA, HOOGHLY",3326637806,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,22.66254,88.34183
18,411023,SNR CARNIVAL HOSPITAL,"A-9/16 S &AMP A-9/17 S, KALYANI, NADIA, Mail ID-
carnivalhospital@gmail.com","A-9/16 S &AMP A-9/17 S, KALYANI, NADIA","03325821395/25
8",MULTI SPECIALITY HOSPITAL,33-F(MED)WB,4/6/2019,3/6/2021,23.0056857,88.4690161
19,411025,SUSRUT EYE FOUNDATION & RESEARCH CENTRE,"HB 36/A/1, SECTOR-III, SALT LAKE CITY, KOL- 700106, Mail ID-
eyecare.service@susrut.org,ey ehospital@susrut.org,susrut36 @gmail.com","HB 36/A/1, SECTOR-III, SALT LAKE CITY, KOLKATA- 700106",(033)23580201/ 2,MULTI SPECIALITY HOSPITAL,47-F(MED)WB,9/7/2019,31/03/2023,22.59177,88.42019
20,411026,ANANDALOKE HOSPITAL AND NEUROSCIENCES CENTRE,"2ND MILE ,SEVOKE ROAD, SILIGURI,DARJEELING- 734001, Mail ID-
corporate.ahnc@gmail.com","2ND MILE ,SEVOKE ROAD, SILIGURI,DARJEELING- 734001",(0353)2544352/ 2,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,26.73092,88.43463
21,411027,VIVEKANANDA HOSPITAL PVT. LIMITED,"DR. ZAKIR HUSSAIN AVENUE,BIDHANNAGAR, DURGAPUR- 713206., Mail ID-
hospitalvivekananda@yahoo.c om","DR. ZAKIR HUSSAIN AVENUE,BIDHANNAGAR, DURGAPUR- 713206",(0343)2532430/ 2,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,23.52089,87.33773
22,411028,BHATTACHARYYA ORTHOPAEDICS & RELATED RESEARCH CENTRE PVT. LTD.,"NARAYANPUR,RAJARHAT GOPALPUR,KOLKATA- 700136., Mail ID-
borrcnarayanpur@gmail.com","NARAYANPUR,RAJARHAT GOPALPUR,KOLKATA- 700136",(033)25732597/ 2,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,22.65605,88.46424
23,411029,D.M.HOSPITAL PVT. LTD.,"113,JAMES LONGD SARANI, KOLKATA-700063,
Mail ID- dmhospitals@gmail.com","113,JAMES LONGD SARANI, KOLKATA-700063","9836729186/974
8",UNI-SPECIALITY NEPHROLOGY HOSPITAL,47-F(MED)WB,9/7/2019,31/03/2023,22.46113,88.30916
24,411030,BARRACKPORE MEDICARE & RECOVERY CENTRE LTD.,"6/6, B.T. ROAD, TALPUKUR, KOLKATA-700123., Mail ID-
bmrchospital@yahoo.in","6/6, B.T. ROAD, TALPUKUR, KOLKATA-700123",(033)25014947/ 9,MULTI SPECIALITY HOSPITAL,73-F(MED)WB,4/9/2019,31/03/2023,22.60739,88.38373
25,411032,"H.L.G. MEMORIAL CHARITABLE HOSPITAL & RESEARCH
INSTITUTE PVT. LTD.","SEN RALEIGH ROAD, KUMARPUR,ASANSOL- 713304., Mail ID-
administrator@hlghospital.co m,tpa@hlghospital.com","SEN RALEIGH ROAD, KUMARPUR,ASANSOL- 713304",(0341)2256611/ 2,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,23.71121,86.95261
26,411033,"INSTITUTE OF NEUROSCIENCES, KOLKATA.","185/1,A.J.C.BOSE ROAD, KOLKATA-700017., Mail ID-
ghoshr24@gmail.com","185/1,A.J.C.BOSE ROAD, KOLKATA-700017",(033)22869999,MULTI SPECIALITY HOSPITAL,9-F(MED)WB,20/01/2020,31/03/2023,22.54944,88.36258
27,411034,MEDICA SUPERSPECIALITY HOSPITAL,"127,MUKUNDAPUR,EM BYE PASS,KOLKATA- 700099, Mail ID-
corporatedesk.mshk@medicas ynergie.in","127,MUKUNDAPUR,EM BYE PASS,KOLKATA- 700099",(033)66525000,MULTI SPECIALITY HOSPITAL,29-F(MED)WB,17/02/2020,31/03/2023,22.49223,88.39662
28,411035,DISHA EYE HOSPITALS PRIVATE LTD.,"88 63A, GHOSHPARA ROAD,BARRACKPUR, KOLKATA-700120, Mail ID-
dishawbhs.bkp@gmail.com,dis ha.mediclaim@gmail.com","88 63A, GHOSHPARA ROAD,BARRACKPUR, KOLKATA-700120",033-6460-6560,MULTI SPECIALITY HOSPITAL,9-F(MED)WB,20/01/2020,31/03/2023,22.76359,88.36999
29,411036,CITYLIFE HOSPITAL PVT. LTD.,"KAMALA VILLAGE, NAPARA CHECKPOST,KRISHNANA GAR ROAD, BARASAT, 24PARGANAS NORTH","KAMALA VILLAGE, NAPARA CHECKPOST,KRISHNANA GAR ROAD, BARASAT, 24PARGANAS NORTH","25241624/25241
6",MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,22.743139,88.484619
30,411037,"AMRI HOSPITALS LIMITED,SALT LAKE","JC-16&17,SECTOR-3,SALT LAKE CITY, KOLKATA- 700098, Mail ID-
corporate.saltlake@amrihospit als.in,subrata@amrihospitals.i n,sghosh@amrihospitals.in,sur ajit.pal@amrihospitals.in","JC-16&17,SECTOR-3,SALT LAKE CITY, KOLKATA- 700098","9433029715/233
5",MULTI SPECIALITY HOSPITAL,94-F(MED)WB,13/11/2019,31/03/2023,22.56951,88.45306
31,411040,FORTIS HOSPITALS LIMITED,"730,ANANDAPUR, KOLKATA-700107, Mail ID-
ipbilling.kolanp@fortishealthc are.com,tapas.mondal@fortish ealthcare.com","730,ANANDAPUR, KOLKATA-700107",(033)66284444,MULTI SPECIALITY HOSPITAL,100-F (MED)WB,27/11/2019,31/03/2023,22.51284,88.40114
32,411041,PEERLESS HOSPITEX HOSPITAL AND RESEARCH CENTRE LTD.,"360,PANCHASAYAR,KOLK ATA-700094, Mail ID-
anup@peerlesshospital.com","360,PANCHASAYAR,KOLKATA-700094",2462-2462/2394,MULTI SPECIALITY HOSPITAL,94-F(MED)WB,13/11/2019,31/03/2023,22.46766,88.40201
33,411042,BELLE VUE CLINIC,"9 & 10, LOUDON STREET, KOLKATA-700017, Mail ID-
marketing@bellevueclinic.com","9 & 10, LOUDON STREET, KOLKATA-700017","2287-
2321/6925/",MULTI SPECIALITY HOSPITAL,94-F(MED)WB,13/11/2019,31/03/2023,22.54653,88.35728
34,411043,SANJIBAN HOSPITAL,"VILL FULESWAR,P.O.- SIJBERIA,P.S.-ULUBERIA DIST.-HOWRAH,PIN- 711316, Mail ID-
hrm.sanjiban@gmail.com","VILL - FULESWAR,P.O.- SIJBERIA,P.S.-ULUBERIA DIST.-HOWRAH,PIN- 711316","9331019736/033
5",MULTI SPECIALITY HOSPITAL,94-F(MED)WB,13/11/2019,31/03/2023,22.4774357,88.1156438
35,411046,SHARANYA,"NH-2, BAMCHANDAIPUR,
Mail ID- tpa.sharanya@gmail.com","NH-2, BAMCHANDAIPUR","0342-
2646272943",MULTI SPECIALITY HOSPITAL,3-F(MED)WB,10/1/2020,31/03/2023,23.2557,87.8569
36,411047,"GLOCAL HOSPITAL, BOLPUR","BOLPUR, LAYEK BAZAR, NANOOR RD., P.O.- BOLPUR , Mail ID-
bolpur.insurance@ghspl.com","BOLPUR, LAYEK BAZAR, NANOOR RD., P.O.- BOLPUR ",9836198224,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,23.66278,87.69695
37,411048,NEOTIA GETWEL HEALTH CARE CENTRE,"UTTARAYAN, MATIGARABEHIND CITY
CENTRE,SILIGURI-734010,
Mail ID- corporate.slg@neotiahealthcar e.com","UTTARAYAN, MATIGARABEHIND CITY
CENTRE,SILIGURI-734010","0353-
3053000/98",MULTI SPECIALITY HOSPITAL,01-F(MED)WB,10/1/2019,10/1/2021,23.58946,87.2643
38,411049,DREAMLAND NURSING HOME,"BABURBAGH, INDRAPRASTHA,BURDWA
N, Mail ID- dreamlandbwn@gmail.com","BABURBAGH, INDRAPRASTHA,BURDWA","2656-
366/947498",MULTI SPECIALITY HOSPITAL,47-F(MED)WB,9/7/2019,31/03/2023,23.25408,87.85544
39,411050,SILIGURI GREATER LION EYE HOSPITAL,"2ND MILE SEVOKE ROAD BEHIND  VISHAL CINEMA HALL, SILIGURI, DIST- DARJEELING, Mail ID-
sglehgreater@gmail.com","2ND MILE SEVOKE ROAD BEHIND  VISHAL CINEMA HALL, SILIGURI, DIST- DARJEELING",0,MULTI SPECIALITY HOSPITAL,29-F(MED)WB,17/02/2020,31/03/2023,26.760326,88.420509
40,411051,DISHARI HEALTH POINT PVT. LTD.,"19, B.G.ROAD, MOKDUMPUR, MALDA- 732103., Mail ID-
dishari_hp@yahoo.co.in","19, B.G.ROAD, MOKDUMPUR, MALDA- 732103.",3512220158,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,25.01241,88.14991
41,411052,KOTHARI MEDICAL CENTRE,"8/3 ALIPORE ROAD, KOLKATA- 700027, Mail ID-
billing@kotharimedical.com","8/3 ALIPORE ROAD, KOLKATA- 700027","033-
24567050/59",MULTI SPECIALITY HOSPITAL,117-F (MED)WB,20/12/2019,31/03/2023,22.52192,88.33217
42,411053,SWASTIK CLINIC & SEVA SADAN PVT. LTD.,"PURATAN LINE, DANGALPARA, SURI, DIST.BIRBHUM., Mail ID-
swastikclinicpvtltd@gmail.co m","PURATAN LINE, DANGALPARA, SURI, DIST - BIRBHUM",0,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,23.9081,87.5277
43,411054,K.P.C. MEDICAL COLLEGE & HOSPITAL,"1F, RAJA S.C.MULLICK ROAD, JADAVPUR, KOL- 700032 , Mail ID-
wbhs.kpcmch@gmail.com","1F, RAJA S.C.MULLICK ROAD, JADAVPUR, KOL- 700032 ",(033)30016100,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,22.49285,88.37172
44,411055,VIVEKANANDA MISSION ASRAM NETRA NIRAMOY NIKETAN,"VIVEKNAGAR, P.O. CHAITANYAPUR, HALDIA,SUTAHATA. PURBA MIDNAPORE, Mail
ID-vmarsb@rediffmail.com","VIVEKNAGAR, P.O. CHAITANYAPUR, HALDIA","03224-
286221/28",MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,22.0731,88.0319
45,411057,PARAMOUNT HOSPITAL PVT. LTD.,"MANGAL PANDEY RD., KHALPARA, P.O. SILIGURI
, Mail ID- paramount_hospital@yahoo.co m","MANGAL PANDEY RD., KHALPARA, P.O. SILIG",0,MULTI SPECIALITY HOSPITAL,42-F(MED)WB,5/3/2020,31/03/2023,26.70451,88.41809
46,411058,GOURI DEVI HOSPITAL & RESEARCH INSTITUTE,"N.H.-2 G.T. ROAD, RAJBANDH, DURGAPUR, BURDWAN-713212, Mail ID-
e.mail.sankar.gdhri@rahul.ac.i n","N.H.-2 G.T. ROAD, RAJBANDH, DURGAPUR, BURDWAN-713212","7797824444/800
1",MULTI SPECIALITY HOSPITAL,117-F (MED)WB,20/12/2019,31/03/2023,23.50906,87.34401
47,411059,SHREE JAIN HOSPITAL & RESEARCH CENTRE,"B/12,G.T.ROADSOUTH,SHI BPUR,HOWRAH-711102,
Mail ID- jainhowrah@gmail.com","
B/12,G.T.ROADSOUTH,SHI BPUR,HOWRAH-711102","9330311102/264
1",MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,22.57156563,88.3298645
48,411060,AMRI HOSPITALS MUKUNDAPUR,"230,BARAKHOLA LANE, BEHIND METRO CASH & CARRY E.M. BYPASS, KOLKATA-700099, Mail ID-
wbhs.wch@amrihospitals.in,sg hosh@amrihospitals.in,surajit. pal@amrihospitals.in","230,BARAKHOLA LANE, BEHIND METRO CASH & CARRY E.M. BYPASS, KOLKATA-700099",(033)66061000/ 9007007213,MULTI SPECIALITY HOSPITAL,94-F(MED)WB,13/11/2019,31/03/2023,22.4939,88.4022
49,411061,IRIS HOSPITAL,"82/1,RAJA S.C.MULLICK ROAD,KOLKATA-700047,
Mail ID- corporate@irishealthservices.c om","82/1,RAJA S.C.MULLICK ROAD,KOLKATA-700047","033-6609-
6000/916333386
6/9830665345",MULTI SPECIALITY HOSPITAL,100-F (MED)WB,27/11/2019,31/03/2023,22.49322,88.37628
50,411062,NARAYANA MULTISPECIALITY HOSPITAL,"78,JESSORE ROAD,BARASAT,24PGS.N, KOLKATA-700127, Mail ID-
swapan.banerjee@narayanahea lth.org,debashis.ray@narayana health.org,aninda.ghoshal@nar ayanahealth.org,raju.das@nara yanahealth.org","78,JESSORE ROAD,BARASAT,24PGS.N",033-71208523,MULTI SPECIALITY HOSPITAL,73-F(MED)WB,4/9/2019,31/03/2023,22.73132,88.50332
51,411063,DR.D.B.SARKAR EYE HOSPITAL PVT.LTD.,"RAJ RAJENDRA NARAYAN ROADR.R.N.ROAD,P.O.&DI ST.-COOCH BEHAR,P.S.- KOTWALI,PIN-736101, Mail ID-
dbsarkareyehospitalwbhs@gm ail.com","RAJ RAJENDRA NARAYAN ROADR.R.N.ROAD,P.O.&DI ST.-COOCH BEHAR,P.S.- KOTWALI,PIN-736101",(03582)229224/ 2,UNI-SPECIALITY EYE HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,26.3312,89.44487
52,411064,J.M.CARNIVAL HOSPITAL,"A-9/17 S,KALYANI,NADIA,
Mail ID- jmcarnival50@gmail.com","A-9/17 S,KALYANI,NADIA","9339734568/990
3",MULTI SPECIALITY HOSPITAL,47-F(MED)WB,9/7/2019,31/03/2023,22.96795,88.46491
53,411065,AMRI HOSPITALS LTD,"17,PANCHANANTALA ROAD,KOLKATA-700029,
Mail ID- corpdesk.dhk@amrihospitals.i n
,sghosh@amrihospitals.in,suraj it.pal@amrihospitals.in","17,PANCHANANTALA ROAD,KOLKATA-700029

","033-
66260000/70",MULTI SPECIALITY HOSPITAL,94-F(MED)WB,13/11/2019,31/03/2023,22.512842,88.3679048
54,411066,NEHRU MEMORIAL TECHNO GLOBAL HOSPITAL,"6,BARASAT ROAD,KOLKATA-700120,
Mail ID- nmtghospital@gmail.com","6,BARASAT ROAD,KOLKATA-700120",3366303030,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,22.76684,88.38141
55,411067,IQ CITY NARAYANA MULTISPECIALITY HOSPITAL,"SOVAPUR,BIJRA ROAD,JEMUA,DURGAPUR- 713206, Mail ID-
srikant.raghavan@iqct.in","SOVAPUR,BIJRA ROAD,JEMUA,DURGAPUR- 713206",3432608000,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,23.56433,87.32366
56,411068,MIDLAND NURSING HOME PVT. LTD.,"19/1, BT.ROAD,KOLKATA-
700056, Mail ID-
midlandnursinghomepvtltd@g mail.com","19/1, BT.ROAD,KOLKATA-
700056, Mail ID-",7872319021,MULTI SPECIALITY HOSPITAL,33-F(MED)WB,4/6/2019,3/6/2021,22.61811,88.37882
57,411069,NARAYANA SUPERSPECIALITY HOSPITAL,"120/1, ANDUL ROAD HOWRAH-711103, Mail ID-
tpacorp.nsh.howrah@narayana health.org,raushan.kumar01@ narayanahealth.org,aninda.gho shal@narayanahealth.org,raju. das@narayanahealth.org","120/1, ANDUL ROAD HOWRAH-711103",9732119532,MULTI SPECIALITY HOSPITAL,94-F(MED)WB,13/11/2019,31/03/2023,22.56506,88.28399
58,411070,BINAYAK MULTISPECIALITY HOSPITAL A UNIT OF BINAYAK IMAGING & DIAGNOSTIC PVT. LTD.,"59 KALI CHARAN GHOSH ROAD, KOLKATA-700050,
Mail ID- binayakhealthworld@yahoo.co
.in","59 KALI CHARAN GHOSH ROAD, KOLKATA-700050",(033)6601-6601,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,22.62792,88.38845
59,411071,MANORAMA HOSPITEX PVT. LTD,"172A, BEHARAMPUR ROAD, NH-34, RANAGHAT, NADIA, Mail ID-
manorama.billing@gmail.com","172A, BEHARAMPUR ROAD, NH-34, RANAGHAT, NADIA",03473-210031,MULTI SPECIALITY HOSPITAL,100-F (MED)WB,27/11/2019,31/03/2023,22.7778,88.2464
60,411072,DR. P.K. SAHA HOSPITAL PVT. LTD.,"12991/12970, BAIRAGI DIGHI BYE LANE,COOCHBEHAR- 736101, Mail ID-
drpksahahpl@gmail.com,palas hwh@gmail.com","12991/12970, BAIRAGI DIGHI BYE LANE,COOCHBEHAR- 736101",3582228668,MULTI SPECIALITY HOSPITAL,3-F(MED)WB,10/1/2020,31/03/2023,26.3254,89.4451
61,411073,DREAMLAND NURSING HOME,"2,NAYRATNA LANE, SHAYAMBAZAR, KOLKATA 700004, Mail ID-
dreamlandnursinghome01@g mail.com,prashant@roadforhe alth.com,info@dreamlandnursi nghome.com","2,NAYRATNA LANE, SHAYAMBAZAR, KOLKATA 700004",03325553216/17,MULTI SPECIALITY WITH DIAGNOSTIC FACILITY,9-F(MED)WB,20/01/2020,31/03/2023,22.59972,88.37168
62,411074,PARK CLINIC PARK MEDICAL RESEARCH & WELFARE SOCIETY,"4 GORKY TERRACE KOLKATA 700017, Mail ID-
parkclinic.pmrws@gmail.com",4 GORKY TERRACE KOLKATA 700017,"22801986/1987/
2",MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,23.2169,88.985
63,411075,"DESUN HOSPITAL(
A UNIT OF P.N. MEMORIAL NEUROCENTRE AND RESEARCH INSTITUTE LTD)","KAWAKHALI, NORTH BENGAL MEDICAL COLLEGE ROAD,KAWAKHALI 734012, Mail ID-
corporate.siliguri@desunhospit al.com","KAWAKHALI, NORTH BENGAL MEDICAL COLLEGE ROAD,KAWAKHALI 734012",3536690000,MULTI SPECIALITY WITH DIAGNOSTIC FACILITY,60-F(MED)WB,19/05/2020,31/03/2023,26.69262,88.37243
64,411078,HEALTHWORLD HOSPITALS A UNIT OF PARASHMANI MEDICAL CENTRE PVT. LTD.,"PLOT NO C-49, COMMERCIAL AREA, OPPOSITE TO ESIC REGIONAL OFFICE, CITY CENTRE, DURGAPUR- 713216, Mail ID-
corporate@hwhos.com,sanjiba n@hwhos.com","PLOT NO C-49, COMMERCIAL AREA, DURGAPUR-713216",8170052821,MULTI SPECIALITY HOSPITAL,11-F(MED)WB,6/3/2019,6/3/2021,23.5472,87.30117
65,411079,JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES & HOSPITAL,"502,M.G ROAD, BUDGE BUDGE, KOLKATA -700137,
Mail ID- dym.marketing@jimsh.org","502,M.G ROAD, BUDGE BUDGE, KOLKATA -700137",9903396230,MULTI SPECIALITY HOSPITAL,52-F(MED)WB,16/07/2019,31/03/2023,22.48093,88.18005
66,411080,SHRI RAMKRISHNA INSTITUTE OF MEDICAL SCIENCES & SANAKA HOSPITAL,"AJAY RIVER ROAD, MALANDIGHI, DURGAPUR-713212, Mail
ID-sanjeeb0343@gmail.com","AJAY RIVER ROAD, MALANDIGHI, DURGAPUR-713212",9083257804,MULTI SPECIALITY HOSPITAL,52-F(MED)WB,16/07/2019,31/03/2023,23.50902,87.36643
67,411081,S.N.R. CARNIVAL HOSPITAL-A UNIT OF JOY FOUNDATION,"PH-III/M & I-2, IGC, 12 NO. PALLY, BHABANIPUR, KALYANI EXPRESSWAY, KALYANI, NADIA, Mail ID-
carnivalhospital2@gmail.com","PH-III/M & I-2, IGC, 12 NO. PALLY, BHABANIPUR, KALYANI EXPRESSWAY, KALYANI, NADIA",89610580001,MULTI SPECIALITY HOSPITAL,64-F(MED)WB,14/08/2019,31/03/2023,22.97467041,88.4336853
68,411082,CENTRE FOR EYE SIGHT,"H/2077/1312/203, BURDWAN ROAD, WARD NO. 4, SILIGURI-734001,
Mail ID- rajeshbhutan@rediffmail.com","H/2077/1312/203, BURDWAN ROAD, WARD NO. 4, SILIGURI-734001",9735940000,EYE CARE CENTRE(DAY CARE),118-F (MED)WB,26/12/2019,31/03/2023,26.71981,88.41954
69,411083,DRISHTIDEEP EYE INSTITUTE LLP,"UNIVERSAL ENCLAVE, SUBHAS PALLY NORTH, DURGAPUR EXPRESSWAY SERVICE ROAD, Mail ID-
drishtideepeye@gmail.com","UNIVERSAL ENCLAVE, SUBHAS PALLY NORTH, DURGAPUR EXPRESSWAY SERVICE ROAD",9831727098,EYE CARE CENTRE(DAY CARE),118-F (MED)WB,26/12/2019,31/03/2023,23.0249,86.126
70,411084,TATA MEDICAL CENTER,"14 MAJOR ARTERIAL ROAD, NEWTOWN, KOLKATA-700160, Mail ID-
niladri.som@tmckolkata.com","14 MAJOR ARTERIAL ROAD, NEWTOWN, KOLKATA-700160",033-66057360,UNI-SPECIALITY HOSPITAL,108-F (MED)WB,19/12/2019,18/12/2023,22.55466,88.50687
